BBBRanking,CustomerRanking,IssuerID
B,2.78,38344
A+,3.68,46944
F,1,62141
F,1.04,70525
None,None,37903
A+,4.25,75293
A+,3.68,53901
None,None,91450
A+,3.74,67190
A+,3.74,29497
A+,3.74,76168
None,None,16842
F,1,21663
None,None,56503
F,1.04,30252
None,None,35783
F,1,54172
None,None,83761
F,1,49046
None,None,93332
D-,1.22,89942
A+,3.68,18350
None,None,60612
None,None,18973
B-,2.56,27651
F,1.07,36096
F,1,27833
None,None,20129
None,None,58288
F,1,17575
F,1,76179
A+,3.68,94248
A-,3.23,36239
None,None,15411
None,None,19636
None,None,44965
A+,3.7,97176
None,None,67243
A+,3.9,48396
B,2.78,96667
None,None,33653
A+,3.68,98185
A+,3.7,15560
None,None,37651
B,2.78,46275
F,1,58594
None,None,40047
A+,3.68,60829
A+,4.61,29698
A+,3.68,67183
A+,3.68,34762
None,None,32753
None,None,30613
B,2.78,48963
None,None,30751
None,None,32225
F,1.03,23603
None,None,11512
A+,3.86,37160
None,None,73751
F,1,89364
B-,2.76,75841
None,None,59025
None,None,96751
None,None,77606
C+,2.34,91762
A+,3.68,91661
None,None,75605
A+,3.68,19722
None,None,93091
F,1,95865
A-,3.23,60156
F,1,16698
None,None,33670
None,None,28162
A+,3.78,41047
A,3.45,77552
None,None,29276
A+,3.68,66083
A+,3.68,99969
A-,3.23,23340
A-,3.23,64353
None,None,74313
A+,3.68,52664
None,None,87571
None,None,32536
None,None,63474
A+,3.68,71287
A+,3.68,39424
None,None,10091
A+,3.68,56707
A+,3.68,45127
A+,3.74,22444
A+,3.74,70194
A+,3.74,83731
A+,3.74,33709
A+,3.68,31609
A+,3.68,33871
A-,3.23,16322
A+,3.68,26065
None,None,60536
None,None,31195
None,None,14002
A+,3.72,99248
A+,3.71,82120
B,2.79,33602
F,1,29418
None,None,27248
A+,3.71,32673
F,1,45786
A-,3.23,37392
None,None,71837
None,None,26539
F,1,18167
None,None,68781
A+,4.86,42261
A+,3.74,93187
A+,3.68,10207
A+,3.68,40308
A+,3.7,88380
F,1.04,12028
D-,1.22,95185
None,None,20507
A+,3.68,15668
None,None,87416
A+,3.9,79475
A-,3.23,38345
A+,3.68,94529
B-,2.56,91058
None,None,47342
A+,3.68,20173
A+,3.86,57845
None,None,58326
None,None,52697
F,1.04,81413
A+,4.34,38166
None,None,14630
A+,3.9,37833
A+,3.74,31274
A+,3.68,11269
A+,3.68,86584
A+,3.78,45636
A+,3.72,62033
C+,2.47,20305
A+,3.68,37204
A+,3.9,90714
C+,2.47,39520
F,1.04,36194
C-,1.89,72034
F,1.22,20069
None,None,26734
A+,3.68,87928
A+,3.72,53882
C+,2.47,93078
A+,3.78,50328
A+,3.68,27811
B,2.78,74917
A+,3.68,74406
A+,3.78,54192
A+,3.72,41921
A+,3.71,38599
C-,1.89,66252
A+,3.72,73943
A+,3.94,61163
F,1,70893
A+,3.72,74483
A+,3.74,44794
